iter	Passed	Remaining
0	29	1441
1	61	1485
2	90	1412
3	119	1373
4	147	1325
5	175	1286
6	203	1252
7	231	1214
8	258	1177
9	287	1148
10	317	1124
11	343	1088
12	373	1061
13	400	1030
14	425	993
15	451	958
16	477	927
17	503	895
18	531	867
19	557	836
20	586	809
21	612	779
22	638	749
23	662	718
24	686	686
25	713	658
26	742	632
27	767	603
28	792	573
29	817	544
30	842	516
31	867	488
32	893	460
33	920	433
34	957	410
35	984	382
36	1009	354
37	1033	326
38	1060	299
39	1086	271
40	1115	244
41	1137	216
42	1160	188
43	1185	161
44	1211	134
45	1233	107
46	1259	80
47	1280	53
48	1304	26
49	1330	0
